id,type,question,answerKey,skillref,step-name,ds-step-name,KC
elearning-mcq-1,Multiple Choice,"Which cognitive process aims to limit stress on working memory by fostering a deeper understanding of the content and learner engagement?
a) Essential processing
b) Extraneous processing
c) Generative processing
d) Limited capacity
Answer: c",c,distinguish_tech_vs_lrng_centrd_lrng_vs_instrctn_skill,q2_distinguish_tech_lrnr_intrct_3_cog_pool_c968fda3fa664b3ebbb36d3bae128666,"Activity gltl7_distinguish_tech_lrnr_intrct_3_4yxxf, part c968fda3fa664b3ebbb36d3bae128666 Multiple choice submission",!
elearning-mcq-2,Multiple Choice,"Adding practice activities or relevant visuals are techniques used to increase psychological engagement as an attempt to
a) Increase generative processing
b) Increase essential processing
c) Reduce extraneous processing
Answer: a",a,distinguish_tech_vs_lrng_centrd_lrng_vs_instrctn_skill,q3_distinguish_tech_lrnr_intrct_3_cog_pool_b3423f78f89f49688e1e55b3ab9a7133,"Activity gltl7_distinguish_tech_lrnr_intrct_3_u9usm, part b3423f78f89f49688e1e55b3ab9a7133 Multiple choice submission",!
elearning-mcq-3,Multiple Choice,"What techniques can be used to offset a lesson that involves too much essential processing?
a) Segment the lesson into chunks
b) Add images that encourage good feelings and enjoyment
c) Provide external links to extra materials
Answer: a",a,distinguish_tech_vs_lrng_centrd_lrng_vs_instrctn_skill,d9df7e3626ff4f929172112cc950aeda_ebe9bca214fd4884bf657e8ecf450c47,"Activity gltl7_distinguish_tech_lrnr_intrct_3_kuq7w, part ebe9bca214fd4884bf657e8ecf450c47 Multiple choice submission",!
elearning-mcq-4,Multiple Choice,"What techniques can be used to offset a lesson that involves too much essential processing?
a) Use pre-training to teach concepts and facts separately
b) Add images that encourage good feelings and enjoyment
c) Provide external links to extra materials
Answer: a",a,distinguish_tech_vs_lrng_centrd_lrng_vs_instrctn_skill,c3303be41d804eefad432f575e589c78_fe4773bb112748bb81323a7b3ed8e892,"Activity gltl7_distinguish_tech_lrnr_intrct_3_1x04g, part fe4773bb112748bb81323a7b3ed8e892 Multiple choice submission",!
elearning-mcq-5,Multiple Choice,"A review exercise presented at the beginning of a lesson helps learners bring prior knowledge into working memory. Which cognitive process is supported?
a) Selecting
b) Organizing
c) Integrating
d) Encoding specificity
Answer: c",c,identify_3_metphors_3_princpls_procs_4_key_lrng_evnt-princpls_skill,q1_identify_3_metphrs_3_princ-proc_4_lrng_pool_e10d798d12af4e7eb4b52fc74803569c,"Activity gltl7_identify_3_metphrs_3_princproc_vfaqp, part e10d798d12af4e7eb4b52fc74803569c Multiple choice submission",!
elearning-mcq-6,Multiple Choice,"The ability to apply new skills learned in training to the workplace environment will primarily result from instructional methods designed to:
a) Direct selection of important information
b) Manage limited capacity in working memory
c) Support integration of words and pictures
d) Encourage retrieval and transfer
Answer: d",d,identify_3_metphors_3_princpls_procs_4_key_lrng_evnt-princpls_skill,q2_identify_3_metphrs_3_princ-proc_4_lrng_pool_d3794ae63e7241f5873644a11f0b91e0,"Activity gltl7_identify_3_metphrs_3_princproc_o733h, part d3794ae63e7241f5873644a11f0b91e0 Multiple choice submission",!
elearning-mcq-7,Multiple Choice,"An arrow used to draw the eye to an important part of a graphic most directly supports which cognitive process:
a) Selecting
b) Organizing
c) Integrating
d) Split Attention
Answer: a",a,identify_3_metphors_3_princpls_procs_4_key_lrng_evnt-princpls_skill,q3_identify_3_metphrs_3_princ-proc_4_lrng_pool_bb4e7ff947814cf3a59dbf0a8490a2d0,"Activity gltl7_identify_3_metphrs_3_princproc_no4kk, part bb4e7ff947814cf3a59dbf0a8490a2d0 Multiple choice submission",!
elearning-mcq-8,Multiple Choice,"Active learning processes take place primarily in:
a) Sensory memory
b) Working memory
c) Long-term memory
d) Metacognitive memory
Answer: b",b,identify_3_metphors_3_princpls_procs_4_key_lrng_evnt-princpls_skill,q4_identify_3_metphrs_3_princ-proc_4_lrng_pool_acea1f243fb64cc080d1fd08a91a74ff,"Activity gltl7_m2_poolq4_identify_3_metphrs_3_5r3jb, part acea1f243fb64cc080d1fd08a91a74ff Multiple choice submission",!
elearning-mcq-9,Multiple Choice,"An e-lesson that uses audio to explain an animation is based on which of the following cognitive science principles?
a) Dual channels
b) Encoding specificity
c) Active processing
d) Transfer of learning
Answer: a",a,identify_3_metphors_3_princpls_procs_4_key_lrng_evnt-princpls_skill,q5_identify_3_metphrs_3_princ-proc_4_lrng_pool_c8d078beb0c2460d933f8e136772fe9e,"Activity gltl7_identify_3_metphrs_3_princproc_pp3n7, part c8d078beb0c2460d933f8e136772fe9e Multiple choice submission",!
elearning-mcq-10,Multiple Choice,"Cognitive overload is based on which cognitive science principle?
a) Dual channels
b) Limited capacity
c) Active processing
d) Transfer
Answer: b",b,identify_3_metphors_3_princpls_procs_4_key_lrng_evnt-princpls_skill,q6_identify_3_metphrs_3_princ-proc_4_lrng_pool_be91be7eba8c4ea0842919fb671a009c,"Activity gltl7_identify_3_metphrs_3_princproc_g7u6y, part be91be7eba8c4ea0842919fb671a009c Multiple choice submission",!
elearning-mcq-14,Multiple Choice,"Which of the following describes the reason why e-learning material with the pitfall “too much of a good thing” hurts learning?
a) Dual channels
b) Limited capacity
c) Active processing
Answer: b",b,identify_3_metphors_3_princpls_procs_4_key_lrng_evnt-princpls_skill,q10_identify_3_metphrs_3_princ-proc_4_lrng_pool_b538c390075a4674998fa23e327ff052,"Activity gltl7_identify_3_metphrs_3_princproc_sb1c0, part b538c390075a4674998fa23e327ff052 Multiple choice submission",!
elearning-mcq-15,Multiple Choice,"If there were only 7 dimensions of instructional choice and 2 choices on each dimension, how many paths would the resulting design space have? (i.e., how many different ways to teach?)
a) 7^2 = 49
b) 2^7 = 128
c) 7*2 = 14
Answer: b",b,explain_why_instrctnl_desgn_complx_skill,q1_explain_why_ID_cmplx_size_space_chg_cntnt_lrner_pool_d1d3b00ecf234849a7526a18226967d8,"Activity gltl7_explain_why_id_cmplx_size_spac_57eaj, part d1d3b00ecf234849a7526a18226967d8 Multiple choice submission",!
elearning-mcq-16,Multiple Choice,"What's an example of an instructional principle that most specifically serves the function of improving memory?
a) Spacing
b) Application of new knowledge
c) Worked examples
d) Assistance dilemma
e) Use of images
Answer: a",a,explain_why_instrctnl_desgn_complx_skill,q2_explain_why_ID_cmplx_size_space_chg_cntnt_lrner_pool_faf9e187596b4739b59c29521b149887,"Activity gltl7_explain_why_id_cmplx_size_spac_8o382, part faf9e187596b4739b59c29521b149887 Multiple choice submission",!
elearning-mcq-17,Multiple Choice,"What's an example of an instructional principle that serves the function of improving induction?
a) Worked examples
b) Feedback
c) Multimedia
d) Self-explanation
Answer: a",a,explain_why_instrctnl_desgn_complx_skill~explain_why_instrctnl_desgn_complx_skill,q3_explain_why_ID_cmplx_size_space_chg_cntnt_lrner_pool_b2463981a65b47d58ee2c887a2cfad0f~q2_explain_why_instrctnl_desgn_complx_1_bcf5376da5e445faaa6b1630f2729205,"Activity gltl7_explain_why_id_cmplx_size_spac_bjbbr, part b2463981a65b47d58ee2c887a2cfad0f Multiple choice submission~Activity gltl7_explain_why_instrctnl_desgn_co_6o36y, part bcf5376da5e445faaa6b1630f2729205 Multiple choice submission",!
elearning-mcq-18,Multiple Choice,"What's an example of an instructional principle that serves the function of improving sense-making?
a) Games and Simulations
b) Providing “how to” books
c) An illustrated worked examples (i.e., no words)
d) Explanation
e) Pretraining
Answer: d",d,explain_why_instrctnl_desgn_complx_skill~explain_why_instrctnl_desgn_complx_skill,q4_explain_why_ID_cmplx_size_space_chg_cntnt_lrner_pool_c7362bae62174d6c823b579b3a2cc108~q3_explain_why_instrctnl_desgn_complx_1_ea8a19dc9db945d992ea335325715cf4,"Activity gltl7_explain_why_id_cmplx_size_spac_jxs0s, part c7362bae62174d6c823b579b3a2cc108 Multiple choice submission~Activity gltl7_explain_why_instrctnl_desgn_co_ar3vh, part ea8a19dc9db945d992ea335325715cf4 Multiple choice submission",!
elearning-mcq-19,Multiple Choice,"Is the following instructional choice the best choice in both of the given contexts: ""Examples for simple addition vs. a topic in philosophy""?
a) No
b) Yes
Answer: a",a,explain_why_instrctnl_desgn_complx_skill,adfc7fa3543f446fb58b4f7c0a0238aa_af22dd6e87c74cad9adb5d86980f6e75,"Activity gltl7_explain_why_id_cmplx_size_spac_8oaqa, part af22dd6e87c74cad9adb5d86980f6e75 Multiple choice submission",!
elearning-mcq-20,Multiple Choice,"Is the following instructional choice the best choice in both of the given contexts: ""Spacing for novice learners vs. advanced learners""?
a) No
b) Yes
Answer: a",a,explain_why_instrctnl_desgn_complx_skill,e0b8113ef83040eda65c3242a48ffcf6_b35e6abb2cd642f180d98facf1a246ad,"Activity gltl7_explain_why_id_cmplx_size_spac_wej1m, part b35e6abb2cd642f180d98facf1a246ad Multiple choice submission",!
elearning-mcq-21,Multiple Choice,"Is the following instructional choice the best choice in both of the given contexts: ""Immediate vs. delayed feedback""?
a) No
b) Yes
Answer: a",a,explain_why_instrctnl_desgn_complx_skill,e5cbc8dc7feb4da493966c5da33e310c_ddee9fa4d6d447279fd2ad48345376e3,"Activity gltl7_explain_why_id_cmplx_size_spac_y0ocl, part ddee9fa4d6d447279fd2ad48345376e3 Multiple choice submission",!
elearning-mcq-22,Multiple Choice,"Is the following instructional choice the best choice in both of the given contexts: ""Prompting for self-explanation vs. no self-explanation""?
a) No
b) Yes
Answer: a",a,explain_why_instrctnl_desgn_complx_skill,c9dc8851164e453f92ba99e03f39c167_c47b12f0ee914570ae90b1fdecd3ac74,"Activity gltl7_explain_why_id_cmplx_size_spac_h4v2m, part c47b12f0ee914570ae90b1fdecd3ac74 Multiple choice submission",!
elearning-mcq-23,Multiple Choice,"Is the following instructional choice the best choice in both of the given contexts: ""Using concrete vs. abstract materials""?
a) No
b) Yes
Answer: a",a,explain_why_instrctnl_desgn_complx_skill,d015fd6a8b6d4f04880bf38bb69c2f49_f981ff7ec5b5425bb5c0126da828b7b7,"Activity gltl7_explain_why_id_cmplx_size_spac_h38qo, part f981ff7ec5b5425bb5c0126da828b7b7 Multiple choice submission",!
elearning-mcq-24,Multiple Choice,"In the examples below, choose the cognitive process that best fits the description.
Thinking towards deeper understanding of the content
a) Essential processing
b) Extraneous processing
c) Generative processing
Answer: c",c,distinguish_3_forms_of_cognitive_load_proc_skill,q1_distinguish_3_forms_cog_proc_load_1_fd4195892eab4522bc5d6e4f7aed2c3c,"Activity gltl7_distinguish_3_forms_cog_proc_l_qu980, part fd4195892eab4522bc5d6e4f7aed2c3c Multiple choice submission",!
elearning-mcq-25,Multiple Choice,"In the examples below, choose the cognitive process that best fits the description.
A mental load that does not contribute to learning.
a) Essential processing
b) Extraneous processing
c) Generative processing
Answer: b",b,distinguish_3_forms_of_cognitive_load_proc_skill,q2_distinguish_3_forms_cog_proc_load_1_f6b0d882414e4dea9f04496ada55723c,"Activity gltl7_distinguish_3_forms_cog_proc_l_mib7g, part f6b0d882414e4dea9f04496ada55723c Multiple choice submission",!
